Date,BTC-USD,ETH-USD,SPY,AAPL,GLD,TLT,TSLA
2019-01-01,3847.6126,130.4724,245.2628,149.8504,118.0941,144.7786,59.8257
2019-01-02,3890.5371,137.5503,246.7767,148.5925,118.2168,144.362,57.9424
2019-01-03,4152.4579,150.0861,242.9185,146.3574,119.3157,144.2721,58.4936
2019-01-04,4343.5348,162.2913,242.104,142.4685,118.4642,147.0573,59.3529
2019-01-07,4459.5514,184.9348,239.3853,142.3773,118.5563,146.967,61.0011
2019-01-08,4360.9564,183.3388,237.9255,140.413,119.1639,146.2281,59.6653
2019-01-09,4495.1255,172.2796,237.7817,143.3627,119.098,146.3741,60.2197
2019-01-10,4685.6408,174.6126,237.3033,142.0435,119.9868,147.0971,58.7638
2019-01-11,5115.8956,169.4921,235.0024,142.6634,118.5906,148.5109,56.7955
2019-01-14,5202.0253,177.1561,237.2474,141.9334,117.9627,147.8199,59.0337
2019-01-15,5327.2666,164.5481,239.4369,141.9394,118.1231,146.488,60.1046
2019-01-16,5328.4896,165.1001,242.1212,140.9192,116.6134,147.1665,60.8273
2019-01-17,5380.3642,162.3486,245.4681,143.429,115.2395,145.829,59.93
2019-01-18,5625.481,180.3903,243.7559,139.8449,115.9456,145.9371,58.4074
2019-01-21,5940.8556,162.5269,244.1633,139.953,116.5356,146.0228,57.902
2019-01-22,5281.689,172.1685,244.8046,137.934,114.111,145.0096,59.7375
2019-01-23,5380.2567,159.1288,244.8156,136.3824,114.7465,144.7691,61.6152
2019-01-24,5242.7618,165.2994,240.8507,140.1135,113.1116,144.2788,60.8394
2019-01-25,5178.2413,174.3477,242.3475,137.02,111.7773,143.576,59.023
2019-01-28,5156.1483,162.3254,239.8375,137.986,112.7894,142.4419,61.0621
2019-01-29,5140.8243,158.0794,238.6525,139.1001,112.8402,143.7448,59.6288
2019-01-30,5338.8959,156.3247,240.1872,139.4023,111.0579,142.2889,58.9533
2019-01-31,5572.628,164.3268,240.8979,140.6456,111.3461,143.6054,60.5428
2019-02-01,5439.7253,161.7024,245.2536,143.3174,110.397,143.6212,59.0981
2019-02-04,5333.1273,175.2686,249.428,141.7766,108.6528,144.6243,59.7769
2019-02-05,5291.2235,181.1282,248.0561,140.899,108.6014,143.7135,59.4434
2019-02-06,5190.913,197.0022,245.6893,141.5575,109.3376,142.756,58.6876
2019-02-07,5470.1498,186.9033,249.9917,140.4232,110.1884,142.8922,58.1796
2019-02-08,5512.7784,170.8181,250.4337,140.068,110.9556,141.5705,59.5547
2019-02-11,5416.9756,189.9354,256.8771,137.6925,110.6758,142.2077,60.6217
2019-02-12,5293.2104,191.2653,259.468,140.1109,108.384,141.4285,60.92
2019-02-13,5810.7847,173.0261,253.5639,142.921,110.2836,143.7464,57.7644
2019-02-14,6342.2591,179.2775,254.9665,140.6049,110.2961,142.0285,59.9428
2019-02-15,6191.9102,168.7564,255.5612,136.386,108.9527,140.4068,57.1322
2019-02-18,6130.4222,173.671,258.6457,134.8725,109.7,141.2048,57.4505
2019-02-19,5604.0872,163.5573,255.7243,136.6726,109.0758,141.3425,56.2008
2019-02-20,5642.2447,170.3726,257.1701,138.9576,108.6539,142.08,54.1975
2019-02-21,5577.4648,181.9683,257.0189,141.034,107.3831,144.6884,53.4504
2019-02-22,5670.0326,179.6802,256.9843,148.7619,108.3683,144.0735,54.2292
2019-02-25,5537.9718,179.7037,256.9937,150.6559,108.0121,142.4126,53.4123
2019-02-26,5606.0467,197.8446,254.9671,149.0067,107.8435,142.8354,51.971
2019-02-27,5738.6278,206.6518,249.046,148.5573,107.5818,144.5178,54.0791
2019-02-28,5959.3668,209.5602,253.2159,149.4827,105.7911,143.4166,57.5958
2019-03-01,5469.9551,210.94,256.4456,146.3608,106.281,145.9482,57.0647
2019-03-04,5718.9947,204.5061,251.0727,142.0287,106.1888,146.1374,56.6106
2019-03-05,5729.9035,209.8751,249.1679,141.8505,108.7192,145.8748,56.189
2019-03-06,6078.5463,212.4434,253.8429,139.9751,109.8624,144.6392,56.4291
2019-03-07,6387.9368,210.1105,246.7809,140.3823,111.0501,145.8925,58.492
2019-03-08,6425.5238,209.2283,248.1114,140.7642,111.4579,144.9391,57.5777
2019-03-11,6043.7897,203.3613,249.5865,142.553,109.3914,147.0406,56.6207
2019-03-12,5644.5585,186.808,245.4513,144.5481,108.9473,147.5128,54.9571
2019-03-13,5791.4598,187.603,246.2094,145.7497,109.239,149.5713,57.6304
2019-03-14,5622.1799,189.1996,239.5817,143.708,108.6869,148.9492,58.9209
2019-03-15,5613.8387,183.0486,242.7144,143.8735,108.5919,148.0306,59.5795
2019-03-18,5981.3573,193.3129,241.9789,139.9357,107.7037,146.21,62.6541
2019-03-19,5833.3694,197.7587,242.5983,138.3096,108.8343,145.1584,64.4729
2019-03-20,5841.153,205.6856,242.1203,134.7293,107.9461,145.6423,63.0874
2019-03-21,5777.228,205.9915,243.1386,137.2954,108.2632,145.0752,61.0265
2019-03-22,5573.0245,222.0048,243.0471,137.9985,109.0883,146.02,61.4764
2019-03-25,5285.185,224.651,248.1275,139.0236,110.5776,147.1435,59.7119
2019-03-26,5598.9437,237.2167,247.4982,136.8117,110.1434,146.7449,61.7269
2019-03-27,6006.4789,246.7367,249.1835,134.2739,111.0073,146.6377,62.8501
2019-03-28,5946.7362,251.9532,250.2194,131.1297,112.0951,146.3229,63.3831
2019-03-29,6070.2806,253.4699,245.2017,129.1357,113.5056,147.7854,63.638
2019-04-01,5666.0653,254.6439,249.3186,128.4653,116.2571,146.594,64.8801
2019-04-02,5977.1858,258.4904,250.0379,129.8514,116.5972,147.5754,69.0253
2019-04-03,5980.8617,247.5207,245.6545,130.5623,117.1506,146.7935,71.0267
2019-04-04,5936.9965,256.1537,244.4265,132.0233,119.1085,146.9732,67.9861
2019-04-05,5842.7353,298.0886,245.3007,138.0417,119.8647,145.4294,65.3023
2019-04-08,5526.485,302.2786,246.3324,140.8958,120.2803,145.7158,65.8219
2019-04-09,5575.0742,279.8579,241.6721,138.7835,119.8338,148.1384,66.4934
2019-04-10,5650.0178,299.9985,237.6049,140.5684,118.5364,148.0499,68.7639
2019-04-11,5579.6943,273.979,239.5839,140.7411,116.6773,149.9238,69.376
2019-04-12,5481.4048,260.6917,239.6724,139.215,117.2722,150.7962,70.7664
2019-04-15,5488.7154,277.1319,244.5574,141.6304,115.9715,152.3881,68.1371
2019-04-16,5308.6177,279.548,240.2299,143.0743,115.7433,151.5574,68.4631
2019-04-17,5684.3011,289.193,242.9092,148.9579,115.5779,153.7942,66.5752
2019-04-18,5871.0407,290.2374,247.8942,153.6819,116.1649,153.8043,68.1819
2019-04-19,5691.3114,307.2471,253.1469,148.9517,117.7748,153.2733,73.3326
2019-04-22,5729.8538,314.8115,256.14,149.5867,119.7545,155.0963,77.1133
2019-04-23,5802.1727,326.5662,253.7385,151.1974,120.6739,156.0894,75.3646
2019-04-24,5242.2735,320.6382,253.4931,156.9496,120.7521,154.4751,74.6157
2019-04-25,5258.7184,306.0486,254.8307,160.2735,121.4772,155.5121,76.9569
2019-04-26,5456.7182,292.5586,253.4765,163.0988,122.1699,154.7916,75.9359
2019-04-29,5391.9975,289.1541,257.0616,160.2228,122.9264,152.6368,72.6724
2019-04-30,5104.2866,301.4502,260.5886,154.9086,122.1265,152.7637,71.5331
2019-05-01,5364.7658,288.5632,264.7093,152.905,122.0781,151.1892,69.461
2019-05-02,5113.3671,278.4732,264.3975,152.0837,120.6471,152.7694,66.5313
2019-05-03,5478.4588,286.4614,266.0716,152.6203,121.0599,153.9492,67.6135
2019-05-06,5473.9733,288.8616,267.5556,152.5543,121.2862,153.8761,67.0851
2019-05-07,5137.5133,271.2359,272.0824,154.8287,121.2653,152.1888,67.7939
2019-05-08,5459.1542,288.8117,271.8187,158.4245,118.6629,152.465,70.2079
2019-05-09,5298.4861,305.6766,272.4319,156.4032,118.2481,152.9414,69.9633
2019-05-10,5210.8492,326.8298,272.7803,156.197,117.9915,152.5416,66.8515
2019-05-13,5560.4524,389.4975,273.0963,156.0498,118.6808,153.7832,68.1224
2019-05-14,5460.1796,359.6926,275.2651,157.8895,117.106,152.8675,67.1945
2019-05-15,5474.4561,361.2893,283.234,153.1416,116.2877,153.6062,67.254
2019-05-16,5447.4173,402.21,279.0506,156.2192,116.3035,153.2999,63.5381
2019-05-17,5514.1027,382.7348,276.6763,157.9464,115.5297,151.3109,66.0694
2019-05-20,5247.3356,334.529,277.1584,159.9379,114.8415,150.6993,68.4866
2019-05-21,5317.0794,321.935,277.3621,157.6448,113.8535,151.1342,69.7883
2019-05-22,5439.1803,316.8132,277.6019,154.6234,114.0622,152.9453,70.4564
2019-05-23,5321.2164,348.0606,274.1577,154.2081,112.3726,152.818,68.1725
2019-05-24,5149.6069,374.3309,269.3493,154.3637,112.9395,154.0958,67.2475
2019-05-27,4986.032,374.9521,272.071,156.0996,114.3054,153.7507,67.0997
2019-05-28,4933.7263,351.4342,271.2538,159.1056,115.2802,153.8668,70.7244
2019-05-29,5066.715,366.3781,273.0098,166.3217,115.8983,153.3183,70.7783
2019-05-30,5100.249,364.5783,273.5392,170.241,117.0296,153.4115,71.5453
2019-05-31,5176.8398,410.9274,276.0073,165.7059,117.0331,153.4655,70.859
2019-06-03,4958.4212,452.3544,276.3805,167.806,117.105,155.1741,71.2964
2019-06-04,5166.6293,463.8166,277.2556,169.1386,116.6163,154.1813,71.7361
2019-06-05,5473.8067,463.346,271.9428,173.7961,116.7449,152.827,69.1066
2019-06-06,5511.6377,438.9598,272.9835,177.2089,115.7692,151.5054,69.909
2019-06-07,5877.1392,481.9698,279.0572,183.4924,115.774,151.4518,71.8095
2019-06-10,5710.5417,472.962,278.8437,182.1958,115.0601,153.335,70.3362
